positions_part_number,service_call_category,total_cost_in_euros,total_service_count
213,Installation / Commissioning,10345.97826,60.85869565
214,Breakdown,10163.17456,126.586087
215,Accessories,10159.03999,270.2126087
216,Breakdown,10148.91939,31.64652174
217,Breakdown,10062.18199,299.4247826
218,Breakdown,10014.6026,138.7578261
219,Breakdown,9943.954902,29.21217391
220,Breakdown,9933.151658,21.90913043
221,Breakdown,9852.273001,282.3843478
222,Installation / Commissioning,9786.078261,65.7273913
223,Breakdown,9776.00277,267.7782609
224,Inspection / Maintenance,9641.453915,36.51521739
225,Breakdown,9618.688329,29.21217391
226,Breakdown,9435.096637,377.323913
227,Breakdown,9431.365914,94.93956522
228,Breakdown,9418.228929,370.0208696
229,Breakdown,9367.977471,97.37391304
230,Inspection / Maintenance,9297.257225,603.7182609
231,Breakdown,9275.792998,124.1517391
232,Breakdown,9218.603639,85.20217391
233,Breakdown,9143.997952,31.64652174
234,Breakdown,9133.271218,43.81826087
235,Accessories,9109.670374,12.17173913
236,Installation / Commissioning,9046.245131,26.77782609
237,Instruction,9027.692696,131.4547826
238,Breakdown,8996.186577,24.34347826
239,Breakdown,8976.386018,2.434347826
240,Breakdown,8878.719511,24.34347826
241,Breakdown,8872.641534,211.7882609
242,Breakdown,8870.296911,187.4447826
243,Breakdown,8853.263205,102.2426087
244,Inspection / Maintenance,8824.947409,31.64652174
245,Installation / Commissioning,8742.384428,12.17173913
246,Breakdown,8559.468528,17.04043478
247,Breakdown,8528.852274,185.0104348
248,Breakdown,8473.976716,163.1013043
249,Breakdown,8424.997117,34.08086957
250,Breakdown,8401.029842,17.04043478
251,Accessories,8313.3952,4.868695652
252,Breakdown,8297.584065,41.38391304
253,Inspection / Maintenance,8237.833043,163.1013043
254,Breakdown,8209.768638,77.89913043
255,Breakdown,7716.687861,17.04043478
256,Breakdown,7607.892321,306.7278261
257,Breakdown,7599.081684,153.363913
258,Installation / Commissioning,7585.671261,38.94956522
259,Breakdown,7529.616227,60.85869565
260,Inspection / Maintenance,7522.719141,116.8486957
261,Breakdown,7488.280093,87.63652174
262,Breakdown,7460.278004,36.51521739
263,Breakdown,7419.892174,51.12130435
264,Breakdown,7401.830209,14.60608696
265,Breakdown,7373.615222,17.04043478
266,Breakdown,7366.845352,19.47478261
267,Breakdown,7358.57206,36.51521739
268,Breakdown,7324.611437,116.8486957
269,Breakdown,7306.500252,36.51521739
270,Breakdown,7297.322761,7.303043478
271,Installation / Commissioning,7171.519044,24.34347826
272,Breakdown,7050.852539,146.0608696
273,Inspection / Maintenance,7048.09423,17.04043478
274,Breakdown,7007.893905,209.353913
275,Breakdown,6985.386611,272.6469565
276,Breakdown,6983.796037,29.21217391
277,Inspection / Maintenance,6958.187716,981.0421739
278,Installation / Commissioning,6903.567,111.98
279,Breakdown,6866.201078,26.77782609
280,Breakdown,6859.966991,43.81826087
281,Breakdown,6796.6007,53.55565217
282,Breakdown,6745.043097,408.9704348
283,Breakdown,6736.991752,43.81826087
284,Breakdown,6680.990379,14.60608696
285,Installation / Commissioning,6645.769565,38.94956522
286,Breakdown,6604.719024,318.8995652
287,Breakdown,6567.949164,165.5356522
288,Breakdown,6525.589238,24.34347826
289,Breakdown,6521.650875,36.51521739
290,Breakdown,6494.718283,53.55565217
291,Breakdown,6494.574264,29.21217391
292,Breakdown,6459.68644,90.07086957
293,Breakdown,6457.373987,65.7273913
294,Breakdown,6401.68858,557.4656522
295,Breakdown,6306.568269,53.55565217
296,Breakdown,6279.274632,177.7073913
297,Breakdown,6262.6668,309.1621739
298,Breakdown,6144.877896,3481.117391
299,Breakdown,6134.001096,77.89913043
300,Installation / Commissioning,6123.601957,65.7273913
301,Inspection / Maintenance,6098.945757,68.16173913
302,Breakdown,6059.945195,41.38391304
303,Breakdown,6025.767781,70.59608696
304,Breakdown,6017.707826,99.80826087
305,Breakdown,5953.07361,87.63652174
306,Breakdown,5892.36332,80.33347826
307,Breakdown,5856.859131,4540.058696
308,Accessories,5786.474134,7.303043478
309,Installation / Commissioning,5782.36807,19.47478261
310,Breakdown,5762.017529,38.94956522
311,Breakdown,5730.629408,104.6769565
312,Inspection / Maintenance,5729.644398,146.0608696
313,Installation / Commissioning,5712.54726,51.12130435
314,Breakdown,5689.21499,163.1013043
315,Breakdown,5645.207074,440.6169565
316,Breakdown,5626.190076,104.6769565
317,Breakdown,5591.506914,153.363913
318,Breakdown,5552.576987,219.0913043
319,Installation / Commissioning,5508.495763,43.81826087
320,Breakdown,5501.496331,131.4547826
321,Inspection / Maintenance,5468.355295,141.1921739
322,Breakdown,5456.176813,4.868695652
323,Breakdown,5422.956948,36.51521739
324,Breakdown,5412.672308,2.434347826
325,Breakdown,5406.847973,7.303043478
326,Transport damages,5373.051902,87.63652174
327,Breakdown,5372.225702,46.2526087
328,Breakdown,5362.002799,107.1113043
329,Installation / Commissioning,5323.546496,77.89913043
330,Breakdown,5304.851474,131.4547826
331,Breakdown,5292.951245,51.12130435
332,Installation / Commissioning,5285.886604,9.737391304
333,Breakdown,5256.688837,7.303043478
334,Breakdown,5168.354731,73.03043478
335,Breakdown,5107.004609,31.64652174
336,Breakdown,5088.249483,7.303043478
337,Breakdown,5027.658565,48.68695652
338,Breakdown,5014.702645,63.29304348
339,Installation / Commissioning,4983.010004,75.46478261
340,Breakdown,4947.062667,14.60608696
341,Breakdown,4942.211805,34.08086957
342,Breakdown,4933.308594,21.90913043
343,Breakdown,4920.036764,68.16173913
344,Breakdown,4915.161079,70.59608696
345,Installation / Commissioning,4914.302971,141.1921739
346,Breakdown,4849.821039,158.2326087
347,Breakdown,4845.612375,26.77782609
348,Breakdown,4842.599443,12.17173913
349,Installation / Commissioning,4819.610487,14.60608696
350,Breakdown,4807.002528,309.1621739
351,Breakdown,4763.289677,121.7173913
352,Breakdown,4752.055266,2.434347826
353,Inspection / Maintenance,4747.673949,70.59608696
354,Installation / Commissioning,4738.481231,4.868695652
355,Breakdown,4736.992987,12.17173913
356,Breakdown,4729.100737,214.2226087
357,Breakdown,4720.541243,58.42434783
358,Breakdown,4691.796503,58.42434783
359,Breakdown,4677.216293,7.303043478
360,Breakdown,4672.203124,221.5256522
361,Breakdown,4634.561743,65.7273913
362,Breakdown,4625.507525,31.64652174
363,Inspection / Maintenance,4603.839132,158.2326087
364,Breakdown,4573.750768,21.90913043
365,Retrofit,4559.436104,2.434347826
366,Breakdown,4513.730026,7.303043478
367,Breakdown,4495.940932,7.303043478
368,Breakdown,4486.055876,187.4447826
369,Breakdown,4462.146408,350.546087
370,Breakdown,4445.150485,29.21217391
371,Inspection / Maintenance,4441.095429,9.737391304
372,Breakdown,4418.418992,17.04043478
373,Breakdown,4414.056852,12.17173913
374,Inspection / Maintenance,4407.309729,474.6978261
375,Inspection / Maintenance,4391.241687,55.99
376,Breakdown,4363.770283,75.46478261
377,Breakdown,4329.855076,85.20217391
378,Breakdown,4326.190202,36.51521739
379,Inspection / Maintenance,4318.533043,9.737391304
380,Breakdown,4317.794674,80.33347826
381,Breakdown,4298.093246,34.08086957
382,Breakdown,4294.882777,236.1317391
383,Breakdown,4278.757061,73.03043478
384,Breakdown,4203.085446,153.363913
385,Breakdown,4164.811522,153.363913
386,Installation / Commissioning,4164.385268,4.868695652
387,Breakdown,4146.097683,141.1921739
388,Breakdown,4136.287989,9.737391304
389,Breakdown,4107.415404,17.04043478
390,Installation / Commissioning,4041.452645,7.303043478
391,Breakdown,4035.177642,7.303043478
392,Breakdown,4027.622086,43.81826087
393,Breakdown,4006.57137,31.64652174
394,Breakdown,3977.553943,7.303043478
395,Breakdown,3975.736705,14.60608696
396,Breakdown,3972.969312,65.7273913
397,Breakdown,3939.172433,202.0508696
398,Breakdown,3928.783163,48.68695652
399,Breakdown,3897.427214,26.77782609
400,Breakdown,3876.698913,9.737391304
401,Breakdown,3864.143453,136.3234783
402,Breakdown,3856.88414,63.29304348
403,Breakdown,3798.941949,143.6265217
404,Breakdown,3784.016008,82.76782609
405,Breakdown,3764.434649,219.0913043
406,Breakdown,3755.569278,58.42434783
407,Installation / Commissioning,3744.628396,4.868695652
408,Breakdown,3715.301652,9.737391304
409,Breakdown,3712.626589,4.868695652
410,Breakdown,3685.224435,143.6265217
411,Inspection / Maintenance,3665.289602,77.89913043
412,Inspection / Maintenance,3648.568797,194.7478261
413,Retrofit,3638.522322,46.2526087
414,Breakdown,3632.27116,58.42434783
415,Breakdown,3630.892396,194.7478261
416,Breakdown,3609.943078,17.04043478
417,Breakdown,3587.973023,4.868695652
418,Breakdown,3566.767395,219.0913043
419,Breakdown,3558.710824,111.98
420,Breakdown,3554.593694,9.737391304
421,Breakdown,3549.744919,4.868695652
422,Installation / Commissioning,3540.235794,19.47478261
423,Breakdown,3512.135053,12.17173913
424,Breakdown,3510.540163,1334.022609
