serial_number,model,energy_type,machine_size,machine_type,unknow_feature,average_time_between_service,avg_serv_costs,days_to_first_serv,installation_year,Accessories,Breakdown,Inspection / Maintenance,Instruction,Retrofit,Transport damages,Welding
94,E62SH,Electric,62,Single,H,98,346.1931964,6,2015,0,13,0,0,0,0,0
95,E62SH,Electric,62,Single,H,96,326.8113908,128,2015,0,13,0,0,0,0,0
96,E62SH,Electric,62,Single,H,85,670.4345588,19,2015,0,13,0,0,0,0,0
97,E62SH,Electric,62,Single,H,80,376.5096527,107,2015,0,13,0,0,0,0,0
98,E62SH,Electric,62,Single,H,76,369.1524663,124,2015,0,13,0,0,0,0,0
99,E62SH,Electric,62,Single,H,66,462.8249557,17,2015,0,13,0,0,0,0,0
100,E62SH,Electric,62,Single,H,70,391.4003288,18,2016,0,13,0,0,0,0,0
101,E62SH,Electric,62,Single,H,79,483.8544417,29,2015,0,13,0,0,0,0,0
102,E62SH,Electric,62,Single,H,64,366.351777,15,2016,0,13,0,0,0,0,0
103,E62SH,Electric,62,Single,H,69,391.0707718,134,2016,0,13,0,0,0,0,0
104,E62SH,Electric,62,Single,H,64,229.0083316,56,2016,0,13,0,0,0,0,0
105,E62SI,Electric,62,Single,I,43,310.4683952,20,2017,0,13,0,0,0,0,0
106,E11SH,Electric,101,Single,H,120,266.7621429,60,2014,6,12,1,0,0,0,0
107,E11SH,Electric,101,Single,H,119,307.5169231,0,2014,0,12,4,0,1,0,0
108,E11SH,Electric,101,Single,H,143,281.3036364,0,2014,1,12,4,0,0,0,0
109,E11SH,Electric,101,Single,H,116,227.9628571,28,2014,0,12,4,0,0,0,0
110,E12SH,Electric,102,Single,H,64,401.1742481,35,2015,0,12,0,0,0,0,0
111,E12SH,Electric,102,Single,H,84,364.7832641,31,2015,0,12,0,0,0,0,0
112,E12SH,Electric,102,Single,H,96,469.8777166,20,2015,0,12,0,0,0,0,0
113,E12SH,Electric,102,Single,H,81,314.5627761,127,2015,0,12,2,0,0,0,0
114,E12SH,Electric,102,Single,H,103,392.1161598,391,2015,0,12,0,0,0,0,0
115,E12SH,Electric,102,Single,H,88,357.7747254,26,2015,0,12,0,0,0,0,0
116,E12SH,Electric,102,Single,H,82,631.3591757,28,2015,0,12,1,0,0,0,0
117,E12SH,Electric,102,Single,H,60,621.6308099,92,2017,0,12,0,0,0,0,0
118,E12SH,Electric,102,Single,H,61,582.4646594,22,2016,0,12,0,0,0,0,0
119,E12SH,Electric,102,Single,H,67,496.8493037,18,2016,0,12,0,0,0,0,0
120,E62SH,Electric,62,Single,H,110,533.0093388,30,2014,0,12,0,0,0,0,0
121,E62SH,Electric,62,Single,H,115,598.4461335,208,2015,0,12,0,0,0,0,0
122,E62SH,Electric,62,Single,H,119,478.9962663,133,2015,0,12,0,0,0,0,0
123,E62SH,Electric,62,Single,H,106,280.027223,129,2015,0,12,0,0,0,0,0
124,E62SH,Electric,62,Single,H,103,786.2206065,81,2015,0,12,0,0,0,0,0
125,E62SH,Electric,62,Single,H,103,708.3079578,91,2015,0,12,0,0,0,0,0
126,E62SH,Electric,62,Single,H,103,346.1402594,197,2015,0,12,0,0,0,0,0
127,E62SH,Electric,62,Single,H,94,323.7436003,4,2015,0,12,0,0,0,0,0
128,E62SH,Electric,62,Single,H,79,917.3701088,21,2015,0,12,0,0,0,0,0
129,E62SH,Electric,62,Single,H,82,458.6413286,39,2015,0,12,0,0,0,0,0
130,E62SH,Electric,62,Single,H,90,349.8985205,144,2015,0,12,0,0,0,0,0
131,E62SH,Electric,62,Single,H,82,269.8000062,29,2015,1,12,0,0,0,0,0
132,E62SH,Electric,62,Single,H,75,502.0974039,164,2016,0,12,0,0,0,0,0
133,E62SH,Electric,62,Single,H,89,380.0970573,26,2016,0,12,0,0,0,0,0
134,E62SH,Electric,62,Single,H,87,486.4722255,73,2016,0,12,1,0,0,0,0
135,E11SH,Electric,101,Single,H,99,322.265,0,2014,2,11,2,0,0,0,0
136,E12SH,Electric,102,Single,H,78,531.1134052,94,2017,0,11,0,0,0,0,0
137,E12SH,Electric,102,Single,H,121,443.3534349,15,2014,0,11,0,0,0,0,0
138,E12SH,Electric,102,Single,H,147,380.5794134,170,2015,0,11,0,0,0,0,0
139,E12SH,Electric,102,Single,H,112,360.0058217,37,2015,0,11,0,0,0,0,0
140,E12SH,Electric,102,Single,H,97,583.501849,56,2015,0,11,0,2,0,0,0
141,E12SH,Electric,102,Single,H,93,364.1905373,68,2015,0,11,0,0,0,0,0
142,E12SH,Electric,102,Single,H,85,357.6664043,68,2015,0,11,0,0,0,0,0
143,E12SH,Electric,102,Single,H,69,275.6782657,8,2016,0,11,0,0,0,0,0
144,E12SH,Electric,102,Single,H,72,247.0554593,38,2015,0,11,0,0,0,0,0
145,E12SH,Electric,102,Single,H,83,741.8392846,33,2016,0,11,0,0,0,0,0
146,E12SH,Electric,102,Single,H,66,298.4353198,68,2016,0,11,0,0,0,0,0
147,E12SH,Electric,102,Single,H,86,294.9689647,71,2016,0,11,0,0,0,0,0
148,E12SH,Electric,102,Single,H,74,518.2724556,30,2016,0,11,0,0,0,0,0
149,E12SI,Electric,102,Single,I,45,355.7201942,71,2017,0,11,0,0,0,0,0
150,E62SH,Electric,62,Single,H,87,373.2348579,30,2015,0,11,0,0,0,0,0
151,E62SH,Electric,62,Single,H,126,271.037208,643,2015,0,11,0,0,0,0,0
152,E62SH,Electric,62,Single,H,93,473.8123668,28,2015,0,11,0,0,0,0,0
153,E62SH,Electric,62,Single,H,95,528.8000598,193,2015,0,11,0,0,0,0,0
154,E62SH,Electric,62,Single,H,78,303.6070958,71,2015,0,11,0,0,0,0,0
155,E62SH,Electric,62,Single,H,108,438.983576,154,2015,0,11,0,0,0,0,0
156,E62SH,Electric,62,Single,H,73,275.8411112,77,2015,0,11,0,0,0,0,0
157,E62SH,Electric,62,Single,H,75,338.9191711,156,2015,0,11,0,0,0,0,0
158,E62SH,Electric,62,Single,H,73,349.0799848,65,2016,0,11,0,0,0,0,0
159,E62SH,Electric,62,Single,H,86,388.1274396,108,2015,0,11,0,0,0,0,0
160,E62SH,Electric,62,Single,H,82,384.53687,31,2016,0,11,0,0,0,0,0
161,E62SH,Electric,62,Single,H,72,413.1867117,2,2016,0,11,0,0,0,0,0
162,E62SH,Electric,62,Single,H,72,238.2394818,160,2016,0,11,0,0,0,0,0
163,E62SH,Electric,62,Single,H,79,417.6103881,49,2016,0,11,0,0,0,0,0
164,E11SH,Electric,101,Single,H,162,238.799,26,2014,2,10,2,0,0,0,0
165,E11SH,Electric,101,Single,H,204,418.66875,357,2014,0,10,4,0,0,0,0
166,E11SH,Electric,101,Single,H,149,410.314,97,2014,2,10,4,0,0,0,0
167,E12SH,Electric,102,Single,H,153,222.6266463,171,2017,0,10,1,0,0,0,0
168,E12SH,Electric,102,Single,H,172,676.7621235,28,2014,0,10,0,0,0,0,0
169,E12SH,Electric,102,Single,H,117,494.3470566,27,2015,0,10,0,0,0,0,0
170,E12SH,Electric,102,Single,H,122,541.4389732,32,2015,0,10,0,0,0,0,0
171,E12SH,Electric,102,Single,H,136,393.4478132,163,2015,0,10,0,0,0,0,0
172,E12SH,Electric,102,Single,H,122,302.6960155,56,2015,0,10,0,0,0,0,0
173,E12SH,Electric,102,Single,H,154,264.7564709,143,2015,0,10,0,0,0,0,0
174,E12SH,Electric,102,Single,H,97,571.1027084,21,2015,0,10,0,0,0,0,0
175,E12SH,Electric,102,Single,H,106,474.190847,147,2015,0,10,0,0,0,0,0
176,E12SH,Electric,102,Single,H,123,448.2456839,141,2015,0,10,0,0,0,0,0
177,E12SH,Electric,102,Single,H,89,338.5409803,174,2015,0,10,0,0,0,0,0
178,E12SH,Electric,102,Single,H,110,420.618243,46,2015,0,10,0,0,0,0,0
179,E12SH,Electric,102,Single,H,82,494.8812707,189,2016,0,10,0,0,0,0,0
180,E62SH,Electric,62,Single,H,113,497.013668,105,2015,0,10,0,0,0,0,0
181,E62SH,Electric,62,Single,H,105,470.6458076,196,2015,0,10,0,0,0,0,0
182,E62SH,Electric,62,Single,H,121,432.0947189,190,2015,0,10,0,0,0,0,0
183,E62SH,Electric,62,Single,H,139,699.111066,96,2015,0,10,0,0,0,0,0
184,E62SH,Electric,62,Single,H,128,312.801294,90,2015,0,10,0,0,0,0,0
185,E62SH,Electric,62,Single,H,95,491.5774055,16,2015,0,10,0,0,0,0,0
186,E62SH,Electric,62,Single,H,115,430.1607882,166,2015,0,10,0,0,0,0,0
187,E62SH,Electric,62,Single,H,100,272.9429092,56,2015,0,10,0,0,0,0,0
188,E62SH,Electric,62,Single,H,93,362.6094763,72,2015,0,10,0,0,0,0,0
189,E62SH,Electric,62,Single,H,93,387.5209525,243,2015,0,10,0,0,0,0,0
190,E62SH,Electric,62,Single,H,70,260.4125332,118,2015,0,10,0,0,0,0,0
191,E62SH,Electric,62,Single,H,80,315.1002377,63,2015,0,10,0,0,0,0,0
192,E62SH,Electric,62,Single,H,93,591.5105016,61,2015,0,10,0,0,0,0,0
193,E62SH,Electric,62,Single,H,64,299.8482161,20,2016,0,10,0,0,0,0,0
194,E62SH,Electric,62,Single,H,81,406.8385351,9,2016,0,10,0,0,0,0,0
195,E62SH,Electric,62,Single,H,84,379.8118783,4,2017,0,10,0,0,0,0,0
196,E62SH,Electric,62,Single,H,42,585.9328186,52,2017,0,10,0,0,0,0,0
197,E11SH,Electric,101,Single,H,159,452.711,0,2014,0,9,3,0,0,0,0
198,E11SH,Electric,101,Single,H,198,459.615,22,2014,0,9,2,0,0,0,0
199,E12SH,Electric,102,Single,H,119,440.4814067,73,2015,0,9,0,0,0,0,0
200,E12SH,Electric,102,Single,H,115,474.1723164,97,2015,0,9,0,0,0,0,0
201,E12SH,Electric,102,Single,H,158,476.2275178,27,2015,0,9,0,0,0,0,0
202,E12SH,Electric,102,Single,H,155,331.1631495,269,2015,0,9,0,0,0,0,0
203,E12SH,Electric,102,Single,H,144,759.3402689,13,2015,0,9,0,0,0,0,0
204,E12SH,Electric,102,Single,H,110,627.4957068,28,2015,0,9,0,0,0,0,0
205,E12SH,Electric,102,Single,H,116,446.2698807,12,2015,0,9,0,0,0,0,0
206,E12SH,Electric,102,Single,H,120,306.3154552,292,2015,0,9,0,0,0,0,0
207,E12SH,Electric,102,Single,H,80,403.3001835,29,2016,0,9,0,0,0,0,0
208,E12SH,Electric,102,Single,H,100,444.1369433,109,2016,0,9,0,0,0,0,0
209,E12SH,Electric,102,Single,H,89,581.192308,212,2016,0,9,0,0,0,0,0
210,E12SH,Electric,102,Single,H,51,517.3214555,27,2017,0,9,1,0,0,0,0
211,E12SH,Electric,102,Single,H,90,415.2337856,20,2016,0,9,0,0,0,0,0
212,E12SH,Electric,102,Single,H,77,387.5044157,22,2016,0,9,0,0,0,0,0
213,E12SH,Electric,102,Single,H,65,373.4921685,8,2016,0,9,0,0,0,0,0
214,E12SH,Electric,102,Single,H,58,352.1677244,108,2017,0,9,0,0,0,0,0
215,E61SI,Electric,61,Single,I,57,25.12666667,132,2017,0,9,0,0,0,0,0
216,E62SH,Electric,62,Single,H,137,469.8074637,7,2015,0,9,0,0,0,0,0
217,E62SH,Electric,62,Single,H,128,327.6733192,79,2015,0,9,0,0,0,0,0
218,E62SH,Electric,62,Single,H,127,446.4346798,218,2015,0,9,0,0,0,0,0
219,E62SH,Electric,62,Single,H,137,213.7425231,88,2015,0,9,0,0,0,0,0
220,E62SH,Electric,62,Single,H,141,905.5000979,57,2015,0,9,0,0,0,0,0
221,E62SH,Electric,62,Single,H,123,305.9997591,21,2015,0,9,0,0,0,0,0
222,E62SH,Electric,62,Single,H,118,434.8211939,129,2015,0,9,0,0,0,0,0
223,E62SH,Electric,62,Single,H,116,559.7773032,128,2015,0,9,0,0,0,0,0
224,E62SH,Electric,62,Single,H,118,312.9456108,72,2015,0,9,0,0,0,0,0
225,E62SH,Electric,62,Single,H,102,512.9812418,29,2015,0,9,0,0,0,0,0
226,E62SH,Electric,62,Single,H,100,362.4209701,64,2015,0,9,0,0,0,0,0
227,E62SH,Electric,62,Single,H,88,300.0700882,27,2016,0,9,0,0,0,0,0
228,E62SH,Electric,62,Single,H,133,224.6415209,257,2015,0,9,0,0,0,0,0
229,E62SH,Electric,62,Single,H,103,322.3823802,195,2015,0,9,1,0,0,0,0
230,E62SH,Electric,62,Single,H,91,708.3722223,27,2016,0,9,0,0,0,0,0
231,E62SH,Electric,62,Single,H,113,312.1962806,19,2016,0,9,0,0,0,0,0
232,E62SH,Electric,62,Single,H,83,299.4446927,34,2016,0,9,0,0,0,0,0
233,E62SH,Electric,62,Single,H,108,697.3693727,14,2016,0,9,0,0,0,0,0
234,E62SH,Electric,62,Single,H,79,304.6032573,21,2016,0,9,0,0,0,0,0
235,E62SH,Electric,62,Single,H,70,313.98144,20,2016,0,9,0,0,0,0,0
236,E62SH,Electric,62,Single,H,86,358.6021228,48,2016,0,9,0,0,0,0,0
237,E62SH,Electric,62,Single,H,72,314.90785,41,2016,0,9,0,0,0,0,0
238,E62SI,Electric,62,Single,I,64,416.1046979,108,2016,0,9,0,0,0,0,0
239,E11SH,Electric,101,Single,H,153,290.7525,0,2018,0,8,2,0,0,0,0
240,E11SH,Electric,101,Single,H,188,342.3655556,115,2014,1,8,3,0,0,0,0
241,E11SH,Electric,101,Single,H,118,568.5994758,362,2014,0,8,2,0,0,0,0
242,E11SH,Electric,101,Single,H,144,280.1488889,76,2014,0,8,1,0,1,0,0
243,E11SH,Electric,101,Single,H,106,330.116,16,2017,1,8,1,0,0,0,0
244,E12SH,Electric,102,Single,H,202,435.3580363,38,2014,0,8,0,0,0,0,0
245,E12SH,Electric,102,Single,H,163,560.5223856,9,2015,0,8,0,0,0,0,0
246,E12SH,Electric,102,Single,H,56,192.2307659,199,2015,0,8,0,0,0,0,0
247,E12SH,Electric,102,Single,H,174,675.901258,293,2015,0,8,0,0,0,0,0
248,E12SH,Electric,102,Single,H,115,343.7645062,6,2015,0,8,0,0,0,0,0
249,E12SH,Electric,102,Single,H,122,517.2022949,62,2015,0,8,0,0,0,0,0
250,E12SH,Electric,102,Single,H,109,569.1048965,112,2015,0,8,0,0,0,0,0
251,E12SH,Electric,102,Single,H,136,335.295535,69,2015,0,8,0,0,0,0,0
252,E12SH,Electric,102,Single,H,83,408.1921927,63,2016,0,8,0,0,0,0,0
253,E12SH,Electric,102,Single,H,84,276.4572637,53,2016,0,8,0,0,0,0,0
254,E12SH,Electric,102,Single,H,101,314.9409712,21,2016,0,8,0,0,0,0,0
255,E12SH,Electric,102,Single,H,119,781.4328944,24,2016,0,8,0,0,0,0,0
256,E12SH,Electric,102,Single,H,47,563.6498956,87,2017,0,8,0,0,0,0,0
257,E61SH,Electric,61,Single,H,254,340.94,112,2014,0,8,1,0,0,0,0
258,E61SH,Electric,61,Single,H,80,448.3472727,384,2017,0,8,1,0,1,0,0
259,E62SH,Electric,62,Single,H,135,302.4223048,225,2015,0,8,0,0,0,0,0
260,E62SH,Electric,62,Single,H,155,200.4403056,20,2014,0,8,0,0,0,0,0
261,E62SH,Electric,62,Single,H,177,382.2807227,56,2015,0,8,0,0,0,0,0
262,E62SH,Electric,62,Single,H,137,445.232844,81,2015,0,8,0,0,0,0,0
263,E62SH,Electric,62,Single,H,176,572.8579149,152,2015,0,8,0,0,0,0,0
264,E62SH,Electric,62,Single,H,114,264.2954855,113,2015,0,8,0,0,0,0,0
265,E62SH,Electric,62,Single,H,156,538.7253593,72,2015,0,8,0,0,0,0,0
266,E62SH,Electric,62,Single,H,123,151.7523354,29,2015,0,8,0,0,0,0,0
267,E62SH,Electric,62,Single,H,151,331.2887302,30,2015,0,8,0,0,0,0,0
268,E62SH,Electric,62,Single,H,85,205.8034921,16,2015,0,8,0,0,0,0,0
269,E62SH,Electric,62,Single,H,134,234.6627387,7,2015,0,8,0,0,0,0,0
270,E62SH,Electric,62,Single,H,97,309.0589242,159,2015,0,8,0,0,0,0,0
271,E62SH,Electric,62,Single,H,143,334.1076458,105,2015,0,8,0,0,0,0,0
272,E62SH,Electric,62,Single,H,113,457.4713482,50,2015,0,8,0,0,0,0,0
273,E62SH,Electric,62,Single,H,97,377.6393635,12,2016,0,8,0,0,0,0,0
274,E62SH,Electric,62,Single,H,100,686.7021191,160,2016,0,8,0,0,0,0,0
275,E62SH,Electric,62,Single,H,139,393.7978189,185,2016,0,8,0,0,0,0,0
276,E62SH,Electric,62,Single,H,81,312.1075125,12,2016,0,8,0,0,0,0,0
277,E62SH,Electric,62,Single,H,74,296.117353,64,2016,0,8,0,0,0,0,0
278,E62SH,Electric,62,Single,H,89,359.951007,250,2016,0,8,0,0,0,0,0
279,E62SI,Electric,62,Single,I,68,464.6773967,2,2017,0,8,0,0,0,0,0
280,G21ME,Gas,201,Mult,E,232,119.3546116,455,2016,0,8,0,0,0,0,0
281,E11SH,Electric,101,Single,H,286,379.79,156,2014,0,7,2,0,0,0,0
282,E11SH,Electric,101,Single,H,138,406.8933333,0,2014,1,7,2,0,0,0,0
283,E11SH,Electric,101,Single,H,221,453.8814286,7,2014,0,7,3,0,2,0,0
284,E12SH,Electric,102,Single,H,14,345.9468087,0,2015,0,7,0,0,0,0,0
285,E12SH,Electric,102,Single,H,171,555.526287,37,2015,0,7,0,0,0,0,0
286,E12SH,Electric,102,Single,H,155,420.7446,90,2015,0,7,0,0,0,0,0
287,E12SH,Electric,102,Single,H,196,398.5347087,430,2015,0,7,0,0,0,0,0
288,E12SH,Electric,102,Single,H,122,335.231577,58,2015,0,7,0,0,0,0,0
289,E12SH,Electric,102,Single,H,158,543.8090691,185,2015,0,7,0,0,0,0,0
290,E12SH,Electric,102,Single,H,125,282.2215879,13,2015,0,7,0,0,0,0,0
291,E12SH,Electric,102,Single,H,154,308.8727295,17,2015,0,7,0,0,0,0,0
292,E12SH,Electric,102,Single,H,114,364.5835801,116,2016,0,7,0,0,0,0,0
293,E12SH,Electric,102,Single,H,115,420.1070644,92,2016,0,7,0,0,0,0,0
294,E12SH,Electric,102,Single,H,126,332.550185,47,2016,0,7,0,0,0,0,0
295,E12SH,Electric,102,Single,H,128,473.7643624,19,2016,0,7,0,0,0,0,0
296,E12SH,Electric,102,Single,H,115,309.5760001,31,2016,0,7,0,0,0,0,0
297,E12SH,Electric,102,Single,H,118,314.7124046,105,2016,0,7,0,0,0,0,0
298,E12SH,Electric,102,Single,H,79,346.2907331,36,2016,0,7,0,0,0,0,0
299,E12SH,Electric,102,Single,H,91,444.3664043,217,2016,0,7,0,0,0,0,0
300,E61SH,Electric,61,Single,H,45,571.5416667,104,2014,0,7,0,0,0,0,0
301,E61SH,Electric,61,Single,H,266,146.3500757,134,2014,0,7,0,0,0,0,0
302,E61SH,Electric,61,Single,H,136,136.465,146,2017,0,7,0,0,0,0,0
303,E62SH,Electric,62,Single,H,169,732.3571079,134,2015,0,7,0,0,0,0,0
304,E62SH,Electric,62,Single,H,199,781.827827,133,2015,0,7,0,0,0,0,0
305,E62SH,Electric,62,Single,H,163,733.9037952,181,2015,0,7,0,0,0,0,0
306,E62SH,Electric,62,Single,H,138,436.6294394,352,2015,0,7,0,0,0,0,0
307,E62SH,Electric,62,Single,H,109,234.500443,66,2015,0,7,0,0,0,0,0
