"","average_time_between_service","avg_serv_costs","days_to_first_serv","breakdown","machine_size_102","machine_size_62","machine_size_61","machine_size_201","machine_size_202","usage_class"
"198",198,459.615,22,9,0,0,0,0,0,"6"
"199",119,440.48140673,73,9,1,0,0,0,0,"6"
"200",115,474.172316352,97,9,1,0,0,0,0,"6"
"201",158,476.22751782,27,9,1,0,0,0,0,"6"
"202",155,331.163149504444,269,9,1,0,0,0,0,"1"
"203",144,759.340268875,13,9,1,0,0,0,0,"5"
"204",110,627.49570678,28,9,1,0,0,0,0,"5"
"205",116,446.269880681111,12,9,1,0,0,0,0,"6"
"206",120,306.315455208889,292,9,1,0,0,0,0,"1"
"207",80,403.300183455,29,9,1,0,0,0,0,"6"
"208",100,444.136943314,109,9,1,0,0,0,0,"6"
"209",89,581.19230795,212,9,1,0,0,0,0,"5"
"210",51,517.321455535833,27,9,1,0,0,0,0,"5"
"211",90,415.233785646667,20,9,1,0,0,0,0,"6"
"212",77,387.504415682222,22,9,1,0,0,0,0,"6"
"213",65,373.4921685275,8,9,1,0,0,0,0,"6"
"214",58,352.167724399,108,9,1,0,0,0,0,"6"
"215",57,25.1266666666667,132,9,0,0,1,0,0,"3"
"216",137,469.807463726,7,9,0,1,0,0,0,"6"
"217",128,327.673319244,79,9,0,1,0,0,0,"6"
"218",127,446.434679768,218,9,0,1,0,0,0,"6"
"219",137,213.742523081,88,9,0,1,0,0,0,"3"
"220",141,905.500097911111,57,9,0,1,0,0,0,"2"
"221",123,305.99975906,21,9,0,1,0,0,0,"6"
"222",118,434.82119394,129,9,0,1,0,0,0,"6"
"223",116,559.7773032,128,9,0,1,0,0,0,"5"
"224",118,312.945610792222,72,9,0,1,0,0,0,"6"
"225",102,512.981241811111,29,9,0,1,0,0,0,"5"
"226",100,362.420970075,64,9,0,1,0,0,0,"6"
"227",88,300.070088161818,27,9,0,1,0,0,0,"6"
"228",133,224.64152086375,257,9,0,1,0,0,0,"1"
"229",103,322.382380154444,195,9,0,1,0,0,0,"6"
"230",91,708.37222228,27,9,0,1,0,0,0,"5"
"231",113,312.196280563333,19,9,0,1,0,0,0,"6"
"232",83,299.444692727,34,9,0,1,0,0,0,"6"
"233",108,697.36937265375,14,9,0,1,0,0,0,"5"
